set,number,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp
SOR,1,Director Krennic,Aspiring to Authority,TRUE,Leader,"Vigilance,Villainy",5,"Imperial,Official","Each friendly damaged unit gets +1/+0.

Epic Action: If you control 5 or more resources, deploy this leader.","Restore 2 (When this unit attacks, heal 2 damage from your base.)

Each friendly damaged unit gets +1/+0.",0,2,7
SOR,2,Iden Versio,Inferno Squad Commander,TRUE,Leader,"Vigilance,Villainy",6,"Imperial,Trooper","Action [{T}]: If an enemy unit was defeated this phase, heal 1 damage from your base.

Epic Action: If you control 6 or more resources, deploy this leader.","Shielded

When an enemy unit is defeated: Heal 1 damage from your base.",0,4,4
SOR,3,Chewbacca,Walking Carpet,TRUE,Leader,"Vigilance,Heroism",7,"Underworld,Wookiee","Action {T}: Play a unit that costs 3 or less from your hand. It gains Sentinel for this phase.

Epic Action: If you control 7 or more resources, deploy this leader.","Sentinel

Grit",0,2,9
SOR,5,Luke Skywalker,Faithful Friend,TRUE,Leader,"Vigilance,Heroism",6,"Force,Rebel","Action [{R1}, {T}]: Give a Shield token to a {Heroism} unit you played this phase.

Epic Action: If you control 6 or more resources, deploy this leader.",On Attack: You may give another unit a Shield token.,0,4,7
SOR,7,Grand Moff Tarkin,Oversector Governor,TRUE,Leader,"Command,Villainy",5,"Imperial,Official","Action [{R1}, {T}]: Give an Experience token to an Imperial unit.

Epic Action: If you control 5 or more resources, deploy this leader.",On Attack: You may give an Experience token to another Imperial unit.,0,2,7
SOR,8,Hera Syndulla,Spectre Two,TRUE,Leader,"Command,Heroism",6,"Rebel,Twi'lek,Spectre",Ignore the aspect penalty on Spectre cards you play.,"Ignore the aspect penalty on Spectre cards you play.

On Attack: You may give an Experience token to another unique unit.",0,4,6
SOR,9,Leia Organa,Alliance General,TRUE,Leader,"Command,Heroism",5,"Rebel,Official","Action [{T}]: Attack with a REBEL unit. Then, you may attack with another REBEL unit.

Epic Action: If you control 5 or more resources, deploy this leader.","Raid 1

When this unit completes an attack: You may attack with another REBEL unit.",0,3,6
SOR,10,Darth Vader,Dark Lord of the Sith,TRUE,Leader,"Aggression,Villainy",7,"Force,Imperial,Sith","Action [1{R}, {T}]: If you played a {Villainy} card this phase, deal 1 damage to a unit and 1 damage to a base.

Epic Action: If you control 7 or more resources, deploy this leader. (Flip him, ready him, and move him to the ground arena.)",On Attack: You may deal 2 damage to a unit.,0,5,8
SOR,11,Grand Inquisitor,Hunting the Jedi,TRUE,Leader,"Aggression,Villainy",6,"Force,Imperial,Inquisitor",Action [{T}]: Deal 2 damage to a friendly unit with 3 or less power and ready it.,On Attack: You may deal 1 damage to another friendly unit with 3 or less power and ready it.,0,3,6
SOR,12,IG-88,Ruthless Bounty Hunter,TRUE,Leader,"Aggression,Villainy",5,"Underworld,Droid,Bounty Hunter","Action {T}: Attack with a unit. If you control more units than the defending player, the attacker gets +1/+0 for this attack.",Each other friendly unit gains Raid 1.,0,5,4
SOR,13,Cassian Andor,Dedicated to the Rebellion,TRUE,Leader,"Aggression,Heroism",6,Rebel,"Action [{R1}, {T}]: If you've dealt 3 or more damage to an enemy base this phase, draw a card.

Epic Action: If you control 6 or more resources, deploy this leader.","Saboteur

When you deal damage to an enemy base: You may draw a card. Use this ability only once each round.",0,4,6
SOR,14,Sabine Wren,Galvanized Revolutionary,TRUE,Leader,"Aggression,Heroism",4,"Mandalorian,Rebel,Spectre",Action [{T}]: Deal 1 damage to each base.,On Attack: Deal 1 damage to each enemy base.,0,2,5
SOR,15,Boba Fett,Collecting the Bounty,TRUE,Leader,"Cunning,Villainy",5,"Underworld,Bounty Hunter","When an enemy unit leaves play: You may exhaust this leader. If you do, ready a resource.

Epic Action: If you control 5 or more resources, deploy this leader.","When this unit completes an attack: If an enemy unit left play this phase, ready up to 2 resources.",0,4,7
SOR,16,Grand Admiral Thrawn,Patient and Insightful,TRUE,Leader,"Cunning,Villainy",6,"Imperial,Official","When the action phase starts: Look at the top card of each player's deck.

Action [{R1}, {T}]: Reveal the top card of any player's deck. Exhaust a unit that costs the same as or less than the revealed card.

Epic Action: If you control 6 or more resources, deploy this leader.","When the action phase starts: Look at the top card of each player's deck.

On Attack: Reveal the top card of any player's deck. Exhaust a unit that costs the same as or less than the revealed card.",0,3,9
SOR,17,Han Solo,Audacious Smuggler,TRUE,Leader,"Cunning,Heroism",6,Underworld,"Action [{T}]: Put a card from your hand into play as a resource and ready it. At the start of the next action phase, defeat a resource you control.","On Attack: Put the top card of your deck into play as a resource and ready it. At the start of the next action phase, defeat a resource you control.",0,4,6
SOR,18,Jyn Erso,Resisting Oppression,TRUE,Leader,"Cunning,Heroism",6,Rebel,Action {T}: Attack with a unit. The defender gets -1/-0 for this attack.,"When a friendly unit is attacking, the defender gets -1/-0.",0,4,7
SOR,19,Security Complex,,FALSE,Base,Vigilance,,Scarif,Epic Action: Give a Shield token to a non-leader unit.,,,,25
SOR,21,Dagobah Swamp,,FALSE,Base,Vigilance,,Dagobah,,,,,30
SOR,22,Energy Conversion Lab,,FALSE,Base,Command,,Eadu,Epic Action: Play a unit that costs 6 or less from your hand. Give it Ambush for this phase.,,,,25
SOR,23,Command Center,,FALSE,Base,Command,,Death Star,,,,,30
SOR,24,Echo Base,,FALSE,Base,Command,,Hoth,,,,,30
SOR,25,Tarkintown,,FALSE,Base,Aggression,,Lothal,Epic Action: Deal 3 damage to a damaged non-leader unit.,,,,25
SOR,26,Catacombs of Cadera,,FALSE,Base,Aggression,,Jedha,,,,,30
SOR,28,Jedha City,,FALSE,Base,Cunning,,Jedha,Epic Action: Give a non-leader unit -4/-0 for this phase.,,,,25
SOR,29,Administrator's Tower,,FALSE,Base,Cunning,,Cloud City,,,,,30
SOR,31,Inferno Four,Unforgetting,TRUE,Unit,"Vigilance,Villainy",2,"Imperial,Vehicle,Fighter",When Played/When Defeated: Look at the top 2 cards of your deck. Put any number of them on the bottom of your deck and the rest on top in any order.,,1,2,3
SOR,32,Scout Bike Pursuer,,FALSE,Unit,"Vigilance,Villainy",2,"Imperial,Trooper",Grit,,0,1,4
SOR,33,Death Trooper,,FALSE,Unit,"Vigilance,Villainy",3,"Imperial,Trooper",When Played: Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.,,0,3,3
SOR,34,Del Meeko,Providing Overwatch,TRUE,Unit,"Vigilance,Villainy",3,"Imperial,Trooper","Restore 1

Each even an opponent plays costs {R1} more.",,0,3,3
SOR,35,Lieutenant Childsen,Death Star Prison Warden,TRUE,Unit,"Vigilance,Villainy",4,"Imperial,Official","Sentinel

When Played: Reveal up to 4 {Vigilance} cards from your hand. For each card revealed this way, give an Experience token to this unit.",,0,2,2
SOR,37,Academy Defense Walker,,FALSE,Unit,"Vigilance,Villainy",6,"Imperial,Vehicle,Walker","Sentinel

When Played: Give an Experience token to each friendly damaged unit.",,0,5,5
